,Adams County,Champaign County,Cook County,DeKalb County,DuPage County,Kane County,Kankakee County,Kendall County,Lake County,LaSalle County,Macon County,Madison County,McHenry County,McLean County,Peoria County,Rock Island County,Sangamon County,St. Clair County,Tazewell County,Vermilion County,Will County,Williamson County,Winnebago County
Total population,"65,691","209,983","5,180,493","104,143","928,589","534,216","110,024","127,915","700,832","109,430","104,712","264,461","308,570","172,828","180,621","143,477","195,348","261,059","132,328","76,806","692,310","67,056","284,081"
Male,"32,661","105,260","2,516,466","50,903","456,716","266,324","54,768","62,401","350,487","55,242","50,279","129,143","153,957","84,289","87,818","69,273","94,821","126,952","65,006","38,315","343,985","33,990","138,909"
Female,"33,030","104,723","2,664,027","53,240","471,873","267,892","55,256","65,514","350,345","54,188","54,433","135,318","154,613","88,539","92,803","74,204","100,527","134,107","67,322","38,491","348,325","33,066","145,172"
Median age (years),41.5,30.3,37,30.9,39.5,37.7,37.5,35.2,38.5,41.9,40.9,40.1,40.9,33.4,38,40.4,40.7,39.6,41,40.4,38.1,40.9,39.5
White,"61,932","155,268","3,077,682","92,165","728,595","416,718","90,134","111,982","536,569","102,609","85,008","235,397","289,649","146,644","139,044","119,933","164,881","173,015","127,387","64,029","533,099","61,535","234,037"
Black or African American,"3,375","31,162","1,258,171","10,105","53,896","34,111","17,867","11,529","56,192","4,677","20,336","26,496","8,935","16,609","36,799","18,019","28,555","83,163","2,609","11,932","88,174","3,310","42,409"
American Indian and Alaska Native,N,1174,"41,587",258,"7,481","4,546",872,N,7069,774,844,1592,"1,703",692,"1,297",899,"1,482",2328,732,327,8719,876,"2,015"
Asian,813,"25,698","445,378","3,644","125,861","27,668","1,489","5,816","63,592","1,294","1,579","4,044","10,915","10,785","8,967","4,692","5,063",6199,"2,019",965,"45,616","1,119","9,799"
Native Hawaiian and Other Pacific Islander,N,N,6874,N,"2,889",639,N,N,1138,N,N,N,N,N,N,454,222,191,N,N,560,N,N
Some other race,N,"2,713","501,045","1,390","39,641","66,943","3,015","1,898","59,061","2,567",568,2989,"3,775","1,730","2,208","6,160","1,010","4,495","1,057","1,270","44,507","1,607","5,368"
Hispanic or Latino (of any race),"1,091","12,798","1,323,017","11,921","134,231","172,268","11,691","24,899","155,394","10,972","2,459","8,942","41,498","8,750","8,878","18,801","4,593","10,899","3,069","3,999","123,504","1,848","37,271"
Not Hispanic or Latino,"64,600","197,185","3,857,476","92,222","794,358","361,948","98,333","103,016","545,438","98,458","102,253","255,519","267,072","164,078","171,743","124,676","190,755","250,160","129,259","72,807","568,806","65,208","246,810"
Median income (dollars),56699,52725,"63,353","63,085","93,750","79,818","51,404","89,862","87,133","51,838","50,066","59,987","85,275","66,256","56,138","52,148","61,997","59,141","60,857","43,655",85818,"43,568","53,345"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0