Region Name,Average ZHVI (2018),,,,,,,,,,,
Cook County,251566.75,,,,,,,,,,,
DuPage County,324148,,,,,,,,,,,
Lake County,252448.5833,,,,,,,,,,,
Will County,222828.4167,,,,,,,,,,,
Kane County,239270.9167,,,,,,,,,,,
McHenry County,223408.9167,,,,,,,,,,,
Winnebago County,108585.5,,,,,,,,,,,
Saint Clair County,110394.9167,,,,,,,,,,,
Madison County,122395.0833,,,,,,,,,,,
Champaign County,143673.0833,,,,,,,,,,,
Sangamon County,133052.5833,,,,,,,,,,,
Peoria County,102460.6667,,,,,,,,,,,
McLean County,157759.6667,,,,,,,,,,,
Rock Island County,107559,,,,,,,,,,,
Tazewell County,122630.4167,,,,,,,,,,,
Kendall County,238588.75,,,,,,,,,,,
La Salle County,121535.0833,,,,,,,,,,,
Kankakee County,138533.9167,,,,,,,,,,,
Macon County,90090.83333,,,,,,,,,,,
DeKalb County,167234.5,,,,,,,,,,,
Vermilion County,65419.33333,,,,,,,,,,,
Adams County,119072.5,,,,,,,,,,,
Williamson County,95814.16667,,,,,,,,,,,
Jackson County,118983.5,,,,,,,,,,,
Whiteside County,102137.9167,,,,,,,,,,,
Boone County,159017,,,,,,,,,,,
Coles County,81177.91667,,,,,,,,,,,
Ogle County,130771.75,,,,,,,,,,,
Knox County,74716.91667,,,,,,,,,,,
Henry County,109772.5,,,,,,,,,,,
Grundy County,190499.6667,,,,,,,,,,,
Macoupin County,82438.16667,,,,,,,,,,,
Stephenson County,85653.33333,,,,,,,,,,,
Franklin County,61529.83333,,,,,,,,,,,
Livingston County,97092.5,,,,,,,,,,,
Jefferson County,89508.33333,,,,,,,,,,,
Woodford County,163374.6667,,,,,,,,,,,
Clinton County,139010.1667,,,,,,,,,,,
Fulton County,72358.25,,,,,,,,,,,
Lee County,97958.83333,,,,,,,,,,,
Morgan County,93820.33333,,,,,,,,,,,
Bureau County,87789.25,,,,,,,,,,,
Christian County,80057.5,,,,,,,,,,,
Effingham County,133293.8333,,,,,,,,,,,
Randolph County,84988.16667,,,,,,,,,,,
Monroe County,190463.5,,,,,,,,,,,
McDonough County,74601.33333,,,,,,,,,,,
Logan County,92229.75,,,,,,,,,,,
Montgomery County,70065.91667,,,,,,,,,,,
Iroquois County,82214.66667,,,,,,,,,,,
Saline County,68631.16667,,,,,,,,,,,
Jersey County,113922.1667,,,,,,,,,,,
Jo Daviess County,158926.1667,,,,,,,,,,,
Shelby County,96389.75,,,,,,,,,,,
Perry County,69148.75,,,,,,,,,,,
Fayette County,77581.91667,,,,,,,,,,,
Douglas County,98805.83333,,,,,,,,,,,
Crawford County,80179.41667,,,,,,,,,,,
Hancock County,78080.41667,,,,,,,,,,,
Edgar County,60647.25,,,,,,,,,,,
Union County,94435.75,,,,,,,,,,,
Bond County,99685.33333,,,,,,,,,,,
Warren County,79112.66667,,,,,,,,,,,
Lawrence County,46926.41667,,,,,,,,,,,
Wayne County,71947.08333,,,,,,,,,,,
Piatt County,136051.75,,,,,,,,,,,
Dewitt County,94247.58333,,,,,,,,,,,
Mercer County,93632.33333,,,,,,,,,,,
Pike County,70160.5,,,,,,,,,,,
Clark County,87650.25,,,,,,,,,,,
Richland County,86584.25,,,,,,,,,,,
Massac County,74790.5,,,,,,,,,,,
Carroll County,99404.16667,,,,,,,,,,,
Moultrie County,101618.75,,,,,,,,,,,
Washington County,107717.75,,,,,,,,,,,
Mason County,62482.66667,,,,,,,,,,,
White County,76460.33333,,,,,,,,,,,
Ford County,82663.16667,,,,,,,,,,,
Greene County,60592.66667,,,,,,,,,,,
Clay County,65548.83333,,,,,,,,,,,
Cass County,78448.66667,,,,,,,,,,,
Menard County,149353.1667,,,,,,,,,,,
Marshall County,89562.41667,,,,,,,,,,,
Johnson County,107937.1667,,,,,,,,,,,
Wabash County,85489.58333,,,,,,,,,,,
Cumberland County,83682.83333,,,,,,,,,,,
Jasper County,70789.66667,,,,,,,,,,,
Hamilton County,72895.66667,,,,,,,,,,,
Schuyler County,86473.625,,,,,,,,,,,
Henderson County,70557.91667,,,,,,,,,,,
Edwards County,49192.25,,,,,,,,,,,
Putnam County,107980.3333,,,,,,,,,,,
Stark County,72013.75,,,,,,,,,,,
Calhoun County,113620.0833,,,,,,,,,,,
Pope County,130053.25,,,,,,,,,,,